Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 13, 2026"
Statement,Data,WhenGenerated,"2026-03-14, 06:40:04 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,10577.8503284
Summary,Data,Change,2835.815190000001
Summary,Data,Ending Cash,13413.665518400001
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-03-13,U***97504,IWM 13MAR26 247 C,Buy,IWM   260313C00247000,1.0,2.6,USD,-260.0,-0.62795,-260.62795
Transaction History,Data,2026-03-13,U***97504,IWM 20MAR26 247 C,Sell,IWM   260320C00247000,-1.0,5.17,USD,517.0,-1.05124,515.94876
Transaction History,Data,2026-03-12,U***97504,IWM 13MAR26 251 C,Buy,IWM   260313C00251000,1.0,0.89,USD,-89.0,-1.05045,-90.05045
Transaction History,Data,2026-03-12,U***97504,IWM 13MAR26 247 C,Sell,IWM   260313C00247000,-1.0,2.56,USD,256.0,-1.05374,254.94626
Transaction History,Data,2026-03-06,U***97504,IWM 06MAR26 261 C,Buy,IWM   260306C00261000,1.0,0.01,USD,-1.0,-0.85795,-1.85795
Transaction History,Data,2026-03-06,U***97504,IWM 13MAR26 251 C,Sell,IWM   260313C00251000,-1.0,5.15,USD,515.0,-1.05124,513.94876
Transaction History,Data,2026-02-27,U***97504,IWM 27FEB26 265 C,Buy,IWM   260227C00265000,1.0,0.05,USD,-5.0,-0.85875,-5.85875
Transaction History,Data,2026-02-27,U***97504,IWM 06MAR26 261 C,Sell,IWM   260306C00261000,-1.0,4.13,USD,413.0,-1.05204,411.94796
Transaction History,Data,2026-02-19,U***97504,IWM 20FEB26 268 C,Buy,IWM   260220C00268000,1.0,0.2,USD,-20.0,-1.04875,-21.04875
Transaction History,Data,2026-02-19,U***97504,IWM 27FEB26 265 C,Sell,IWM   260227C00265000,-1.0,3.12,USD,312.0,-1.05204,310.94796
Transaction History,Data,2026-02-13,U***97504,IWM 13FEB26 267 C,Buy,IWM   260213C00267000,1.0,0.02,USD,-2.0,-1.05125,-3.05125
Transaction History,Data,2026-02-13,U***97504,IWM 20FEB26 268 C,Sell,IWM   260220C00268000,-1.0,1.54,USD,154.0,-1.05454,152.94546
Transaction History,Data,2026-02-09,U***97504,IWM 13FEB26 267 C,Sell,IWM   260213C00267000,-1.0,1.82,USD,182.0,-0.99204,181.00796
Transaction History,Data,2026-02-06,U***97504,IWM 06FEB26 261 C,Buy,IWM   260206C00261000,1.0,2.35,USD,-235.0,-1.05125,-236.05125
Transaction History,Data,2026-01-30,U***97504,IWM 06FEB26 261 C,Sell,IWM   260206C00261000,-1.0,2.34,USD,234.0,-1.05204,232.94796
Transaction History,Data,2026-01-30,U***97504,IWM 30JAN26 265 C,Buy,IWM   260130C00265000,1.0,0.01,USD,-1.0,-1.04875,-2.04875
Transaction History,Data,2026-01-28,U***97504,IWM 30JAN26 265 C,Sell,IWM   260130C00265000,-1.0,1.27,USD,127.0,-0.86204,126.13796
Transaction History,Data,2026-01-26,U***97504,IWM 17JUN27 185 C,Buy,IWM   270617C00185000,1.0,90.1,USD,-9010.0,-1.04875,-9011.04875
