
Week,SPY Price,VIX,Weekly Return %,LEAPS Value,LEAPS Change,LEAPS Delta,LEAPS Intrinsic,LEAPS Extrinsic,LEAPS Stock Impact,LEAPS Theta Decay,Roll Cost,Call Premium (Open),Call Value (Open),Expired Call Premium,Expired Call Final Value,Call P&L,Weekly P&L,Cash,Account Value,Regime,Action
1,578.71,17.0,-1.91,8830.70,,0.8381,6971.33,1859.37,0.00,0.00,-1997.51,,,,,,-917.69,10251.61,19082.31,Normal VIX Flat, Below MA,Rolled LEAPS DELTA to 509 (DTE=358)
2,587.32,12.8,1.49,9515.55,684.85,0.8559,7831.88,1823.01,721.21,-36.36,,527.00,527.00,,,,684.85,10778.61,19767.16,Low VIX Flat, Above MA,Sell 588C (+0.1%)
3,585.48,12.4,-0.31,9321.86,-193.69,0.8511,7648.05,1786.66,-157.33,-36.36,,506.00,506.00,527.00,0.00,527.00,333.31,11284.61,20100.47,Low VIX Flat, Above MA,Sell 586C (+0.1%)
4,585.99,10.3,0.09,9328.85,7.00,0.8524,7698.98,1750.30,43.35,-36.36,,392.00,392.00,506.00,0.00,506.00,513.00,11676.61,20613.47,Low VIX Flat, Above MA,Sell 587C (+0.2%)
5,600.56,9.0,2.49,10534.78,1205.93,0.8893,9156.34,1713.94,1242.28,-36.36,,314.00,314.00,392.00,1356.34,-964.34,241.59,10634.27,20855.06,Low VIX Falling, Above MA,Sell 603C (+0.4%)
6,599.88,9.7,-0.11,10438.07,-96.71,0.8876,9088.48,1677.59,-60.35,-36.36,,348.00,348.00,314.00,0.00,314.00,217.29,10982.27,21072.35,Low VIX Falling, Above MA,Sell 602C (+0.4%)
7,607.01,9.4,1.19,11033.77,595.69,0.9051,9800.54,1641.23,632.05,-36.36,,339.00,339.00,348.00,500.54,-152.54,443.15,10820.74,21515.50,Low VIX Falling, Above MA,Sell 609C (+0.3%)
8,608.14,9.0,0.19,11100.14,66.38,0.9078,9914.05,1604.88,102.73,-36.36,,321.00,321.00,339.00,0.00,339.00,405.38,11141.74,21920.88,Low VIX Falling, Above MA,Sell 610C (+0.3%)
9,605.02,9.0,-0.51,10780.58,-319.56,0.9002,9602.07,1568.52,-283.21,-36.36,,319.00,319.00,321.00,0.00,321.00,1.44,11460.74,21922.31,Low VIX Falling, Above MA,Sell 607C (+0.3%)
10,624.91,9.0,3.29,12534.52,1753.95,0.9200,11590.78,1532.16,1790.30,-36.36,,330.00,330.00,319.00,1790.78,-1471.78,282.17,9999.96,22204.48,Low VIX Flat, Above MA,Sell 626C (+0.2%)
11,626.08,9.2,0.19,12605.68,71.15,0.9200,11707.63,1495.81,107.51,-36.36,,331.00,331.00,330.00,7.63,322.37,393.52,10323.33,22598.00,Low VIX Falling, Above MA,Sell 628C (+0.3%)
12,618.48,9.0,-1.21,11870.64,-735.03,0.9200,10948.20,1459.45,-698.68,-36.36,,335.00,335.00,331.00,0.00,331.00,-404.03,10658.33,22193.97,Low VIX Flat, Above MA,Sell 619C (+0.1%)
13,631.39,9.0,2.09,13021.80,1151.15,0.9200,12238.98,1423.09,1187.51,-36.36,,335.00,335.00,335.00,1238.98,-903.98,247.18,9754.35,22441.15,Low VIX Flat, Above MA,Sell 632C (+0.1%)
14,631.31,9.5,-0.01,12977.89,-43.91,0.9200,12230.77,1386.74,-7.55,-36.36,,356.00,356.00,335.00,0.00,335.00,291.09,10110.35,22732.24,Low VIX Flat, Above MA,Sell 632C (+0.1%)
15,612.29,10.5,-3.01,11191.57,-1786.32,0.9177,10328.64,1350.38,-1749.96,-36.36,,530.00,530.00,356.00,0.00,356.00,-1430.32,10640.35,21301.93,Low VIX Rising, Below MA,Sell 611C (-0.2%)
16,607.92,11.0,-0.71,10754.58,-436.99,0.9073,9892.08,1314.02,-400.63,-36.36,,523.00,523.00,530.00,0.00,530.00,93.01,11163.35,21394.93,Low VIX Rising, Below MA,Sell 607C (-0.2%)
17,607.84,10.7,-0.01,10711.06,-43.53,0.9071,9884.17,1277.67,-7.17,-36.36,,498.00,498.00,523.00,84.17,438.83,395.30,11577.18,21790.23,Low VIX Rising, Below MA,Sell 607C (-0.1%)
18,632.68,9.0,4.09,12928.09,2217.03,0.9200,12368.42,1241.31,2253.39,-36.36,,327.00,327.00,498.00,2568.42,-2070.42,146.61,9335.75,21936.84,Low VIX Rising, Above MA,Sell 634C (+0.2%)
19,633.87,9.0,0.19,13000.58,72.49,0.9200,12486.74,1204.95,108.85,-36.36,,329.00,329.00,327.00,0.00,327.00,399.49,9664.75,22336.33,Low VIX Flat, Above MA,Sell 635C (+0.2%)
20,638.86,9.0,0.79,13423.17,422.59,0.9200,12985.59,1168.60,458.95,-36.36,,319.00,319.00,329.00,385.59,-56.59,366.00,9598.16,22702.33,Low VIX Falling, Above MA,Sell 641C (+0.3%)
21,646.44,9.0,1.19,14084.47,661.30,0.9200,13743.91,1132.24,697.66,-36.36,,325.00,325.00,319.00,543.91,-224.91,436.39,9379.25,23138.72,Low VIX Falling, Above MA,Sell 648C (+0.2%)
22,644.42,9.2,-0.31,13861.96,-222.51,0.9200,13541.58,1095.89,-186.15,-36.36,,336.00,336.00,325.00,0.00,325.00,102.49,9715.25,23241.22,Low VIX Falling, Above MA,Sell 646C (+0.2%)
23,661.09,9.0,2.59,15359.34,1497.38,0.9200,15208.68,1059.53,1533.74,-36.36,,332.00,332.00,336.00,1508.68,-1172.68,324.70,8538.58,23565.92,Low VIX Flat, Above MA,Sell 662C (+0.1%)
24,647.12,9.9,-2.11,14037.86,-1321.48,0.9200,13811.80,1023.17,-1285.13,-36.36,,376.00,376.00,332.00,0.00,332.00,-989.48,8914.58,22576.43,Low VIX Flat, Above MA,Sell 648C (+0.1%)
25,648.98,10.4,0.29,14172.37,134.51,0.9200,13997.53,986.82,170.87,-36.36,,400.00,400.00,376.00,97.53,278.47,412.98,9217.05,22989.42,Low VIX Rising, Above MA,Sell 650C (+0.2%)
26,652.14,11.2,0.49,14426.78,254.41,0.9200,14313.58,950.46,290.77,-36.36,,444.00,444.00,400.00,213.58,186.42,440.83,9447.47,23430.25,Low VIX Rising, Above MA,Sell 653C (+0.1%)
27,653.36,12.0,0.19,7582.35,-6844.43,0.7630,5235.53,2346.83,0.00,0.00,6920.26,,,444.00,35.53,408.47,484.31,16332.21,23914.56,Low VIX Rising, Above MA,Rolled LEAPS TIME to 601 (DTE=365)
28,629.10,12.7,-3.71,9368.99,1786.64,0.8367,7509.62,1859.37,0.00,0.00,-3682.61,,,,,,-1895.97,12649.60,22018.59,Low VIX Rising, Below MA,Rolled LEAPS DELTA to 554 (DTE=358)
29,627.76,13.6,-0.21,9220.51,-148.47,0.8344,7375.62,1823.01,-112.12,-36.36,,648.00,648.00,,,,-148.47,13297.60,21870.12,Low VIX Rising, Below MA,Sell 627C (-0.1%)
30,634.58,15.0,1.09,9753.50,532.99,0.8462,8057.99,1786.66,569.35,-36.36,,708.00,708.00,648.00,757.99,-109.99,423.00,13247.61,22293.12,Low VIX Rising, Below MA,Sell 634C (-0.1%)
