Date,Action,Symbol,Strike,Expiration,StockPrice,Premium,Notes
2025-01-09,STO,IWM,263,2025-01-16,220.0,139,Initial call
2025-01-15,BTC,IWM,263,2025-01-16,222.0,230,Rolled to $269
2025-01-15,STO,IWM,269,2025-01-23,222.0,230,Roll up (debit paid)
2025-01-23,EXP,IWM,269,2025-01-23,224.0,0,Expired worthless
2025-01-26,STO,IWM,267,2025-01-30,224.5,134,New call
2025-01-30,BTC,IWM,267,2025-01-30,223.0,1,Bought back cheap
2025-02-02,STO,IWM,263,2025-02-06,226.0,178,Week 4
2025-02-05,BTC,IWM,263,2025-02-06,227.5,32,Rolled down
2025-02-05,STO,IWM,260,2025-02-06,227.5,32,Roll down
2025-02-06,BTC,IWM,260,2025-02-06,228.0,269,Rolled up to $269
2025-02-06,STO,IWM,269,2025-02-13,228.0,269,Roll up
2025-02-13,BTC,IWM,269,2025-02-13,226.0,124,Rolled out
2025-02-13,STO,IWM,269,2025-02-20,226.0,124,Same strike roll
2025-02-19,BTC,IWM,269,2025-02-20,225.0,325,Rolled down
2025-02-19,STO,IWM,264,2025-02-26,225.0,325,Roll down
2025-02-26,BTC,IWM,264,2025-02-26,224.0,375,Rolled down
2025-02-26,STO,IWM,263,2025-03-06,224.0,375,Roll down
2025-03-02,BTC,IWM,263,2025-03-06,226.0,141,Rolled down
2025-03-02,STO,IWM,260,2025-03-06,226.0,141,Roll down
2025-03-06,BTC,IWM,260,2025-03-06,228.0,522,Rolled down aggressively
2025-03-06,STO,IWM,251,2025-03-13,228.0,522,Roll down ITM protection
2025-03-09,BTC,IWM,251,2025-03-13,226.5,331,Mid-week roll
2025-03-09,STO,IWM,245,2025-03-13,226.5,331,Roll down more ITM
2025-03-13,BTC,IWM,245,2025-03-13,226.0,525,Bought back ITM
2025-03-13,STO,IWM,249,2025-03-20,226.0,450,Rolled to ATM - CURRENT
