Date,Action,Symbol,Strike,Expiration,StockPrice,Premium,Notes
2025-01-07,BTO,IWM,190,2025-06-17,218.5,7745,LEAPS purchased
2025-01-09,STO,IWM,263,2025-01-16,220.0,139,Week 1 - Sold $263
2025-01-15,BTC,IWM,263,2025-01-16,222.0,230,Rolled - bought back $263
2025-01-15,STO,IWM,269,2025-01-23,222.0,230,Rolled - sold $269
2025-01-23,EXP,IWM,269,2025-01-23,224.0,0,Expired worthless +$230
2025-01-26,STO,IWM,267,2025-01-30,224.5,134,Week 3 - Sold $267
2025-01-30,BTC,IWM,267,2025-01-30,223.0,1,Bought back for $1
2025-02-02,STO,IWM,263,2025-02-06,226.0,178,Week 4
2025-02-05,BTC,IWM,263,2025-02-06,227.5,32,Rolled down
2025-02-05,STO,IWM,260,2025-02-06,227.5,32,Rolled to $260
2025-02-06,BTC,IWM,260,2025-02-06,228.0,237,Rolled up to $269
2025-02-06,STO,IWM,269,2025-02-13,228.0,269,Sold $269
2025-02-13,BTC,IWM,269,2025-02-13,226.0,124,Rolled out
2025-02-13,STO,IWM,269,2025-02-20,226.0,124,Sold $269 same strike
2025-02-19,BTC,IWM,269,2025-02-20,225.0,201,Rolled down
2025-02-19,STO,IWM,264,2025-02-26,225.0,325,Rolled to $264
2025-02-26,BTC,IWM,264,2025-02-26,224.0,50,Rolled down
2025-02-26,STO,IWM,263,2025-03-06,224.0,375,Rolled to $263
2025-03-02,BTC,IWM,263,2025-03-06,226.0,141,Rolled down
2025-03-02,STO,IWM,260,2025-03-06,226.0,141,Rolled to $260
2025-03-06,BTC,IWM,260,2025-03-06,228.0,381,Rolled down ITM protection
2025-03-06,STO,IWM,251,2025-03-13,228.0,522,Rolled to $251
2025-03-09,BTC,IWM,251,2025-03-13,226.5,191,Rolled down mid-week
2025-03-09,STO,IWM,245,2025-03-13,226.5,331,Rolled to $245
2025-03-13,BTC,IWM,245,2025-03-13,226.0,194,Rolled to $249
2025-03-13,STO,IWM,249,2025-03-20,226.0,450,Current open $249
