Date,Action,Symbol,Strike,Expiration,StockPrice,Premium,NetCredit,Notes
2025-01-07,BTO,IWM,190,2025-06-17,218.5,7745,0,LEAPS purchase
2025-01-09,STO,IWM,263,2025-01-16,220.0,139,0,Week 1
2025-01-15,ROLL,IWM,263,2025-01-23,222.0,0,-91,Rolled 263→269 (net -91)
2025-01-23,EXP,IWM,269,2025-01-23,224.0,0,0,Expired worthless
2025-01-26,STO,IWM,267,2025-01-30,224.5,134,0,Week 3
2025-01-30,BTC,IWM,267,2025-01-30,223.0,1,0,Bought back for $1
2025-02-02,STO,IWM,263,2025-02-06,226.0,178,0,Week 4
2025-02-05,ROLL,IWM,263,2025-02-06,227.5,0,32,Rolled 263→260 (net +32)
2025-02-06,ROLL,IWM,260,2025-02-13,228.0,0,-237,Rolled 260→269 (net -237)
2025-02-13,ROLL,IWM,269,2025-02-20,226.0,0,124,Rolled out (net +124)
2025-02-19,ROLL,IWM,269,2025-02-26,225.0,0,-201,Rolled 269→264 (net -201)
2025-02-26,ROLL,IWM,264,2025-03-06,224.0,0,-50,Rolled 264→263 (net -50)
2025-03-02,ROLL,IWM,263,2025-03-06,226.0,0,234,Rolled 263→260 (net +234)
2025-03-06,ROLL,IWM,260,2025-03-13,228.0,0,-381,Rolled 260→251 (net -381)
2025-03-09,ROLL,IWM,251,2025-03-13,226.5,0,191,Rolled 251→245 (net +191)
2025-03-13,ROLL,IWM,245,2025-03-20,226.0,0,-194,Rolled 245→249 (net -194)
